Branch Name,Supplier Name,Received At,Inventory Item Name,UOM,Quantity,Cost Per Unit,Batch Number,Expiry Date,Invoice Number,Notes
Victoria Island Main,Premium Spirits Nigeria Ltd,2024-01-05,Hennessy VS,Bottle (70cl),24,32000,HEN-2024-001,,PSN-2024-0001,Initial stock
Lekki Phase 1,Premium Spirits Nigeria Ltd,2024-01-05,Hennessy VS,Bottle (70cl),18,32000,HEN-2024-001,,PSN-2024-0002,
Ikoyi Branch,Premium Spirits Nigeria Ltd,2024-01-05,Hennessy VS,Bottle (70cl),12,32000,HEN-2024-001,,PSN-2024-0003,
Victoria Island Main,Premium Spirits Nigeria Ltd,2024-01-05,Hennessy VSOP,Bottle (70cl),12,62000,HEN-2024-001,,PSN-2024-0004,Initial stock
Lekki Phase 1,Premium Spirits Nigeria Ltd,2024-01-05,Hennessy VSOP,Bottle (70cl),8,62000,HEN-2024-001,,PSN-2024-0005,
Victoria Island Main,Premium Spirits Nigeria Ltd,2024-01-05,Rémy Martin XO,Bottle (70cl),6,185000,RÉM-2024-001,,PSN-2024-0007,Initial stock
Ikoyi Branch,Premium Spirits Nigeria Ltd,2024-01-05,Rémy Martin XO,Bottle (70cl),4,185000,RÉM-2024-001,,PSN-2024-0009,
Victoria Island Main,Premium Spirits Nigeria Ltd,2024-01-05,Johnnie Walker Black Label,Bottle (75cl),24,24000,JOH-2024-001,,PSN-2024-0010,Initial stock
Lekki Phase 1,Premium Spirits Nigeria Ltd,2024-01-05,Johnnie Walker Black Label,Bottle (75cl),18,24000,JOH-2024-001,,PSN-2024-0011,
Ikoyi Branch,Premium Spirits Nigeria Ltd,2024-01-05,Johnnie Walker Black Label,Bottle (75cl),12,24000,JOH-2024-001,,PSN-2024-0012,
Victoria Island Main,Premium Spirits Nigeria Ltd,2024-01-05,Johnnie Walker Blue Label,Bottle (75cl),4,135000,JOH-2024-001,,PSN-2024-0013,Initial stock
Victoria Island Main,Premium Spirits Nigeria Ltd,2024-01-05,Jack Daniel's Tennessee,Bottle (70cl),18,19500,JAC-2024-001,,PSN-2024-0016,Initial stock
Lekki Phase 1,Premium Spirits Nigeria Ltd,2024-01-05,Jack Daniel's Tennessee,Bottle (70cl),12,19500,JAC-2024-001,,PSN-2024-0017,
Ikoyi Branch,Premium Spirits Nigeria Ltd,2024-01-05,Jack Daniel's Tennessee,Bottle (70cl),10,19500,JAC-2024-001,,PSN-2024-0018,
Victoria Island Main,Premium Spirits Nigeria Ltd,2024-01-05,Chivas Regal 12 Years,Bottle (75cl),15,22000,CHI-2024-001,,PSN-2024-0019,Initial stock
Victoria Island Main,Premium Spirits Nigeria Ltd,2024-01-05,Ciroc Vodka,Bottle (75cl),20,27000,CIR-2024-001,,PSN-2024-0022,Initial stock
Lekki Phase 1,Premium Spirits Nigeria Ltd,2024-01-05,Ciroc Vodka,Bottle (75cl),15,27000,CIR-2024-001,,PSN-2024-0023,
Ikoyi Branch,Premium Spirits Nigeria Ltd,2024-01-05,Ciroc Vodka,Bottle (75cl),12,27000,CIR-2024-001,,PSN-2024-0024,
Victoria Island Main,Premium Spirits Nigeria Ltd,2024-01-05,Grey Goose Vodka,Bottle (70cl),12,30000,GRE-2024-001,,PSN-2024-0025,Initial stock
Lekki Phase 1,Premium Spirits Nigeria Ltd,2024-01-05,Grey Goose Vodka,Bottle (70cl),8,30000,GRE-2024-001,,PSN-2024-0026,
Victoria Island Main,Premium Spirits Nigeria Ltd,2024-01-05,Absolut Vodka,Bottle (70cl),24,12500,ABS-2024-001,,PSN-2024-0028,Initial stock
Lekki Phase 1,Premium Spirits Nigeria Ltd,2024-01-05,Absolut Vodka,Bottle (70cl),18,12500,ABS-2024-001,,PSN-2024-0029,
Ikoyi Branch,Premium Spirits Nigeria Ltd,2024-01-05,Absolut Vodka,Bottle (70cl),15,12500,ABS-2024-001,,PSN-2024-0030,
Victoria Island Main,Premium Spirits Nigeria Ltd,2024-01-05,Bombay Sapphire Gin,Bottle (70cl),15,17500,BOM-2024-001,,PSN-2024-0031,Initial stock
Lekki Phase 1,Premium Spirits Nigeria Ltd,2024-01-05,Bombay Sapphire Gin,Bottle (70cl),12,17500,BOM-2024-001,,PSN-2024-0032,
