Branch Name,Supplier Name,Received At,Inventory Item Name,UOM,Quantity,Cost Per Unit,Batch Number,Expiry Date,Invoice Number,Notes
South Bay Store,FreshFarm Wholesale Co.,2025-11-24,Organic Whole Milk,Liter,70,3.29,BATCH-94269,2025-12-31,INV-841232,
Eastgate Shopping Center,FreshFarm Wholesale Co.,2025-11-16,Organic Whole Milk,Liter,78,3.71,BATCH-72601,2026-03-17,INV-393129,
Eastgate Shopping Center,Regional Supply Chain,2025-12-17,Organic Whole Milk,Liter,114,3.91,BATCH-75285,2026-06-03,INV-885871,Seasonal inventory
Northpoint Outlet,Eco-Friendly Suppliers,2026-01-05,Organic Whole Milk,Liter,133,3.02,BATCH-28657,2026-05-22,INV-428104,Rush delivery
Northpoint Outlet,Mega Suppliers Inc.,2025-11-06,Organic Whole Milk,Liter,180,3.71,BATCH-67744,2026-04-26,INV-515177,
Northpoint Outlet,Prime Importers,2025-11-25,Organic Whole Milk,Liter,145,3.03,BATCH-56161,2026-03-10,INV-625044,
Westside Mall Branch,Prime Importers,2026-02-01,Organic Whole Milk,Liter,81,3.66,BATCH-19151,2026-04-28,INV-328015,Seasonal inventory
Westside Mall Branch,Bulk Foods Warehouse,2025-12-16,Organic Whole Milk,Liter,75,3.38,BATCH-39190,2026-03-07,INV-677639,Promotional stock
Downtown Main Store,Mega Suppliers Inc.,2025-12-10,Organic Whole Milk,Liter,164,3.99,BATCH-86993,2026-03-01,INV-853875,Promotional stock
Downtown Main Store,Premium Grocers Supply,2025-12-31,Organic Whole Milk,Liter,120,3.94,BATCH-74908,2026-02-17,INV-695485,
Downtown Main Store,Global Food Distributors,2025-12-12,Organic Whole Milk,Liter,205,3.26,BATCH-69439,2026-01-20,INV-735801,Quality checked and approved
Eastgate Shopping Center,Prime Importers,2025-11-21,Cheddar Cheese Block,Kilogram,63,8.51,BATCH-79902,2026-02-20,INV-251239,
Eastgate Shopping Center,Express Distribution Co.,2026-01-08,Cheddar Cheese Block,Kilogram,32,9.04,BATCH-46920,2026-06-25,INV-956828,Rush delivery
South Bay Store,Global Food Distributors,2026-01-15,Cheddar Cheese Block,Kilogram,36,9.68,BATCH-13248,2026-07-04,INV-260460,Seasonal inventory
South Bay Store,Global Food Distributors,2025-12-03,Cheddar Cheese Block,Kilogram,31,8.45,BATCH-39900,2026-01-17,INV-824448,
Northpoint Outlet,Regional Supply Chain,2025-12-29,Cheddar Cheese Block,Kilogram,63,9.54,BATCH-85875,2026-02-28,INV-522632,Rush delivery
Northpoint Outlet,Express Distribution Co.,2025-12-17,Cheddar Cheese Block,Kilogram,86,9.71,BATCH-75953,2026-04-06,INV-713916,
Northpoint Outlet,Regional Supply Chain,2025-11-26,Cheddar Cheese Block,Kilogram,48,10.05,BATCH-71926,2026-04-18,INV-134292,
Westside Mall Branch,Express Distribution Co.,2025-12-30,Cheddar Cheese Block,Kilogram,67,8.31,BATCH-84358,2026-02-14,INV-285958,
Westside Mall Branch,Quality Foods Ltd.,2026-01-29,Greek Yogurt Plain,Unit,58,2.49,BATCH-77593,2026-03-26,INV-622656,Quality checked and approved
Westside Mall Branch,Global Food Distributors,2025-12-01,Greek Yogurt Plain,Unit,140,2.23,BATCH-12667,2026-04-04,INV-383487,Quality checked and approved
Downtown Main Store,Global Food Distributors,2025-11-17,Greek Yogurt Plain,Unit,76,2.54,BATCH-32923,2026-05-01,INV-479307,Rush delivery
Downtown Main Store,Mega Suppliers Inc.,2026-01-08,Greek Yogurt Plain,Unit,84,2.56,BATCH-81276,2026-04-12,INV-187203,Rush delivery
Eastgate Shopping Center,Eco-Friendly Suppliers,2026-01-26,Greek Yogurt Plain,Unit,66,2.5,BATCH-49742,2026-07-09,INV-223171,Seasonal inventory
Eastgate Shopping Center,Premium Grocers Supply,2025-11-28,Greek Yogurt Plain,Unit,46,2.79,BATCH-82322,2026-01-11,INV-448057,
Eastgate Shopping Center,Prime Importers,2025-12-17,Greek Yogurt Plain,Unit,70,2.66,BATCH-60787,2026-04-08,INV-117741,
South Bay Store,Express Distribution Co.,2025-11-13,Greek Yogurt Plain,Unit,61,2.45,BATCH-20149,2026-03-26,INV-212126,
South Bay Store,Premium Grocers Supply,2025-12-04,Greek Yogurt Plain,Unit,59,2.79,BATCH-98458,2026-01-19,INV-268575,Promotional stock
South Bay Store,Prime Importers,2026-01-22,Greek Yogurt Plain,Unit,45,2.67,BATCH-11281,2026-06-19,INV-323670,Rush delivery
Eastgate Shopping Center,Mega Suppliers Inc.,2025-12-27,Butter Salted,Unit,45,3.72,BATCH-76200,2026-04-20,INV-876401,
Eastgate Shopping Center,Prime Importers,2025-12-23,Butter Salted,Unit,36,4.41,BATCH-32860,2026-03-21,INV-987807,
Eastgate Shopping Center,Regional Supply Chain,2026-01-19,Butter Salted,Unit,41,3.68,BATCH-65596,2026-07-05,INV-556969,Rush delivery
South Bay Store,Global Food Distributors,2026-01-29,Butter Salted,Unit,30,3.63,BATCH-10739,2026-06-10,INV-214746,Seasonal inventory
South Bay Store,Eco-Friendly Suppliers,2025-11-30,Butter Salted,Unit,43,4.07,BATCH-12634,2026-02-05,INV-178275,Promotional stock
South Bay Store,Premium Grocers Supply,2026-01-19,Butter Salted,Unit,72,4.28,BATCH-87031,2026-05-11,INV-423273,Quality checked and approved
Westside Mall Branch,Bulk Foods Warehouse,2026-01-08,Butter Salted,Unit,52,4.67,BATCH-18432,2026-03-26,INV-755261,Rush delivery
Eastgate Shopping Center,Premium Grocers Supply,2026-01-04,Fresh Orange Juice,Liter,51,4.3,BATCH-72979,,INV-619183,Promotional stock
Downtown Main Store,Global Food Distributors,2025-11-29,Fresh Orange Juice,Liter,115,5,BATCH-12693,,INV-446649,Seasonal inventory
Westside Mall Branch,Quality Foods Ltd.,2025-12-01,Fresh Orange Juice,Liter,64,3.98,BATCH-95051,,INV-373520,
Westside Mall Branch,Prime Importers,2026-01-25,Fresh Orange Juice,Liter,64,4.58,BATCH-47549,,INV-463425,Promotional stock
Westside Mall Branch,Bulk Foods Warehouse,2025-11-16,Fresh Orange Juice,Liter,101,4.86,BATCH-67913,,INV-859098,Promotional stock
South Bay Store,Bulk Foods Warehouse,2025-11-20,Fresh Orange Juice,Liter,73,4.75,BATCH-48794,,INV-633825,Seasonal inventory
South Bay Store,Eco-Friendly Suppliers,2025-11-12,Fresh Orange Juice,Liter,82,4.83,BATCH-23162,,INV-476357,
Eastgate Shopping Center,Prime Importers,2025-12-31,Coca Cola 2L,Unit,171,2.18,BATCH-91931,,INV-694940,Promotional stock
