Name,Category,Subcategory,UOM,Track Stock,Minimum Stock,Maximum Stock,Sales Price,Barcode,Image URL
Classic Cheeseburger,Food,Burgers,Piece,Yes,10,50,12.99,800123456701,https://images.unsplash.com/photo-1550547660-d9450f859349?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80
Double Beef Burger,Food,Burgers,Piece,Yes,5,30,15.99,800123456702,https://images.unsplash.com/photo-1568901346375-23c9450c58cd?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80
Avocado Veggie Burger,Food,Burgers,Piece,Yes,10,40,14.5,800123456703,https://images.unsplash.com/photo-1482049016688-2d3e1b311543?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80
Fried Chicken Sandwich,Food,Sandwiches,Piece,Yes,15,60,11.99,800123456704,https://images.unsplash.com/photo-1528735602780-2552fd46c7af?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80
Margherita Pizza,Food,Pizza,Piece,Yes,8,40,16.0,800123456705,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80
Pepperoni Pizza,Food,Pizza,Piece,Yes,10,50,18.5,800123456706,https://images.unsplash.com/photo-1513104890138-7c749659a591?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80
Spaghetti Bolognese,Food,Pasta,Portion,Yes,20,80,14.99,800123456707,https://images.unsplash.com/photo-1555939594-58d7cb561ad1?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80
Fettuccine Alfredo,Food,Pasta,Portion,Yes,15,60,13.99,800123456708,https://images.unsplash.com/photo-1604908176997-125f25cc6f3d?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80
Healthy Avocado Bowl,Food,Healthy,Portion,Yes,12,45,12.5,800123456709,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80
Fresh Green Salad,Food,Salads,Portion,Yes,15,50,9.99,800123456710,https://images.unsplash.com/photo-1512621776951-a57141f2eefd?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80
Quinoa & Egg Bowl,Food,Healthy,Portion,Yes,10,40,13.0,800123456711,https://images.unsplash.com/photo-1490645935967-10de6ba17061?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80
Berry Smoothie Bowl,Food,Healthy,Portion,Yes,20,60,11.5,800123456712,https://images.unsplash.com/photo-1498837167922-ddd27525d352?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80
Decadent Chocolate Cake,Food,Desserts,Slice,Yes,5,20,6.99,800123456713,https://images.unsplash.com/photo-1551024506-0bccd828d307?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80
New York Cheesecake,Food,Desserts,Slice,Yes,8,25,7.5,800123456714,https://images.unsplash.com/photo-1488477181946-6428a0291777?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80
Fresh Croissant,Food,Pastries,Piece,Yes,20,100,3.99,800123456715,https://images.unsplash.com/photo-1551024709-8f23befc6f87?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80
Blueberry Muffin,Food,Pastries,Piece,Yes,15,60,4.5,800123456716,https://images.unsplash.com/photo-1509365465994-3b4924046176?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80
Iced Caramel Macchiato,Drinks,Coffee,Cup,No,0,0,5.99,800123456717,https://images.unsplash.com/photo-1563227812-0ac4ce8e411b?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80
Classic Espresso,Drinks,Coffee,Cup,No,0,0,3.5,800123456718,https://images.unsplash.com/photo-1544148103-0773bf10d330?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80
Fresh Orange Juice,Drinks,Juice,Glass,No,0,0,4.99,800123456719,https://images.unsplash.com/photo-1497935586351-b67a49e012bf?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80
Matcha Latte,Drinks,Tea,Cup,No,0,0,6.5,800123456720,https://images.unsplash.com/photo-1556679343-c7306c1976bc?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80
