Branch Name,Supplier Name,Received At,Inventory Item Name,Quantity,Cost Per Unit,Batch Number,Expiry Date,Invoice Number,Notes
Victoria Island,Continental Foods & Supplies,2024-01-01,Bottled Water 1.5L,147,306,,2025-05-01,INV-CON-00066,Event stock up
Lekki,Metro Wholesale Company,2024-01-03,Johnnie Walker Red Label 750ml,7,9919,BTH2024010044,2027-09-03,INV-MET-00055,Weekend preparation
Lekki,Premium Drinks Nigeria Ltd,2024-01-03,Fanta Orange 350ml,51,360,,2025-01-03,INV-PRE-00212,VIP event supplies
Lekki,Galaxy Beverages Distributors,2024-01-03,Johnnie Walker Red Label 750ml,18,12209,BTH2024010283,2027-02-03,INV-GAL-00330,Event stock up
Victoria Island,Metro Wholesale Company,2024-01-04,Sprite 350ml,114,361,BTH2024010341,2025-04-04,INV-MET-00396,Emergency restock
Victoria Island,Premium Drinks Nigeria Ltd,2024-01-05,Star Lager Beer 600ml,97,615,BTH2024010055,2024-12-05,INV-PRE-00069,
Lekki,Continental Foods & Supplies,2024-01-05,Bombay Sapphire Gin 750ml,19,16233,BTH2024010349,2028-11-05,,Event stock up
Lekki,Continental Foods & Supplies,2024-01-06,Veuve Clicquot Champagne 750ml,6,63095,BTH2024010081,2027-03-06,,Weekend preparation
Lekki,Premium Drinks Nigeria Ltd,2024-01-08,Drinking Straws Pack 100,21,670,BTH2024010096,,INV-PRE-00119,
Victoria Island,Premium Drinks Nigeria Ltd,2024-01-08,Corona Beer 330ml,117,1277,,2024-08-08,INV-PRE-00218,Regular restock
Victoria Island,Galaxy Beverages Distributors,2024-01-08,Veuve Clicquot Champagne 750ml,11,56208,BTH2024010305,2028-08-08,,
Lekki,Continental Foods & Supplies,2024-01-09,Chivas Regal 12 Year 750ml,14,18949,,2027-09-09,INV-CON-00126,VIP event supplies
Lekki,Premium Drinks Nigeria Ltd,2024-01-10,Bacardi White Rum 750ml,5,10832,BTH2024010062,2027-09-10,INV-PRE-00076,Promotional stock
Victoria Island,Metro Wholesale Company,2024-01-10,Cocktail Napkins Pack,27,1076,BTH2024010318,,,Weekend preparation
Victoria Island,Galaxy Beverages Distributors,2024-01-11,Smirnoff Vodka 750ml,3,8169,BTH2024010221,2028-10-11,INV-GAL-00267,
Lekki,Metro Wholesale Company,2024-01-11,Monster Energy Drink 500ml,8,1516,BTH2024010314,2025-09-11,INV-MET-00365,Weekend preparation
